municipality|LV-001*|Aglonas novads|Aglona|lv||
municipality|LV-002*|Aizkraukles novads|Aizkraukle|lv||
municipality|LV-003*|Aizputes novads|Aizpute|lv||
municipality|LV-004*|Aknīstes novads|Aknīste|lv||
municipality|LV-005*|Alojas novads|Aloja|lv||
municipality|LV-006*|Alsungas novads|Alsunga|lv||
municipality|LV-007*|Alūksnes novads|Alūksne|lv||
municipality|LV-008*|Amatas novads|Amata|lv||
municipality|LV-009*|Apes novads|Ape|lv||
municipality|LV-010*|Auces novads|Auce|lv||
municipality|LV-012*|Babītes novads|Babīte|lv||
municipality|LV-013*|Baldones novads|Baldone|lv||
municipality|LV-014*|Baltinavas novads|Baltinava|lv||
municipality|LV-015*|Balvu novads|Balvi|lv||
municipality|LV-016*|Bauskas novads|Bauska|lv||
municipality|LV-017*|Beverīnas novads|Beverīna|lv||
municipality|LV-018*|Brocēnu novads|Brocēni|lv||
municipality|LV-019*|Burtnieku novads|Burtnieki|lv||
municipality|LV-020*|Carnikavas novads|Carnikava|lv||
municipality|LV-021*|Cesvaines novads|Cesvaine|lv||
municipality|LV-023*|Ciblas novads|Cibla|lv||
municipality|LV-022*|Cēsu novads|Cēsis|lv||
municipality|LV-024*|Dagdas novads|Dagda|lv||
republican city|LV-DGV|Daugavpils||lv||
municipality|LV-025*|Daugavpils novads|Daugavpils|lv||
municipality|LV-026*|Dobeles novads|Dobele|lv||
municipality|LV-027*|Dundagas novads|Dundaga|lv||
municipality|LV-028*|Durbes novads|Durbe|lv||
municipality|LV-029*|Engures novads|Engure|lv||
municipality|LV-031*|Garkalnes novads|Garkalne|lv||
municipality|LV-032*|Grobiņas novads|Grobiņa|lv||
municipality|LV-033*|Gulbenes novads|Gulbene|lv||
municipality|LV-034*|Iecavas novads|Iecava|lv||
municipality|LV-035*|Ikšķiles novads|Ikšķile|lv||
municipality|LV-036*|Ilūkstes novads|Ilūkste|lv||
municipality|LV-037*|Inčukalna novads|Inčukalns|lv||
municipality|LV-038*|Jaunjelgavas novads|Jaunjelgava|lv||
municipality|LV-039*|Jaunpiebalgas novads|Jaunpiebalga|lv||
municipality|LV-040*|Jaunpils novads|Jaunpils|lv||
republican city|LV-JEL*|Jelgava||lv||
municipality|LV-041*|Jelgavas novads|Jelgava|lv||
republican city|LV-JKB*|Jēkabpils||lv||
municipality|LV-042*|Jēkabpils novads|Jēkabpils|lv||
republican city|LV-JUR*|Jūrmala||lv||
municipality|LV-043*|Kandavas novads|Kandava|lv||
municipality|LV-045*|Kocēnu novads|Kocēni|lv||
municipality|LV-046*|Kokneses novads|Koknese|lv||
municipality|LV-048*|Krimuldas novads|Krimulda|lv||
municipality|LV-049*|Krustpils novads|Krustpils|lv||
municipality|LV-047*|Krāslavas novads|Krāslava|lv||
municipality|LV-050*|Kuldīgas novads|Kuldīga|lv||
municipality|LV-044*|Kārsavas novads|Kārsava|lv||
municipality|LV-053*|Lielvārdes novads|Lielvārde|lv||
republican city|LV-LPX|Liepāja||lv||
municipality|LV-054*|Limbažu novads|Limbaži|lv||
municipality|LV-057*|Lubānas novads|Lubāna|lv||
municipality|LV-058*|Ludzas novads|Ludza|lv||
municipality|LV-055*|Līgatnes novads|Līgatne|lv||
municipality|LV-056*|Līvānu novads|Līvāni|lv||
municipality|LV-059*|Madonas novads|Madona|lv||
municipality|LV-060*|Mazsalacas novads|Mazsalaca|lv||
municipality|LV-061*|Mālpils novads|Mālpils|lv||
municipality|LV-062*|Mārupes novads|Mārupe|lv||
municipality|LV-063*|Mērsraga novads|Mērsrags|lv||
municipality|LV-064*|Naukšēnu novads|Naukšēni|lv||
municipality|LV-065*|Neretas novads|Nereta|lv||
municipality|LV-066*|Nīcas novads|Nīca|lv||
municipality|LV-067*|Ogres novads|Ogre|lv||
municipality|LV-068*|Olaines novads|Olaine|lv||
municipality|LV-069*|Ozolnieku novads|Ozolnieki|lv||
municipality|LV-073*|Preiļu novads|Preiļi|lv||
municipality|LV-074*|Priekules novads|Priekule|lv||
municipality|LV-075*|Priekuļu novads|Priekuļi|lv||
municipality|LV-070*|Pārgaujas novads|Pārgauja|lv||
municipality|LV-071*|Pāvilostas novads|Pāvilosta|lv||
municipality|LV-072*|Pļaviņu novads|Pļaviņas|lv||
municipality|LV-076*|Raunas novads|Rauna|lv||
municipality|LV-078*|Riebiņu novads|Riebiņi|lv||
municipality|LV-079*|Rojas novads|Roja|lv||
municipality|LV-080*|Ropažu novads|Ropaži|lv||
municipality|LV-081*|Rucavas novads|Rucava|lv||
municipality|LV-082*|Rugāju novads|Rugāji|lv||
municipality|LV-083*|Rundāles novads|Rundāle|lv||
republican city|LV-REZ*|Rēzekne||lv||
municipality|LV-077*|Rēzeknes novads|Rēzekne|lv||
republican city|LV-RIX|Rīga||lv||
municipality|LV-084*|Rūjienas novads|Rūjiena|lv||
municipality|LV-086*|Salacgrīvas novads|Salacgrīva|lv||
municipality|LV-085*|Salas novads|Sala|lv||
municipality|LV-087*|Salaspils novads|Salaspils|lv||
municipality|LV-088*|Saldus novads|Saldus|lv||
municipality|LV-089*|Saulkrastu novads|Saulkrasti|lv||
municipality|LV-091*|Siguldas novads|Sigulda|lv||
municipality|LV-093*|Skrundas novads|Skrunda|lv||
municipality|LV-092*|Skrīveru novads|Skrīveri|lv||
municipality|LV-094*|Smiltenes novads|Smiltene|lv||
municipality|LV-095*|Stopiņu novads|Stopiņi|lv||
municipality|LV-096*|Strenču novads|Strenči|lv||
municipality|LV-090*|Sējas novads|Sēja|lv||
municipality|LV-097*|Talsu novads|Talsi|lv||
municipality|LV-099*|Tukuma novads|Tukums|lv||
municipality|LV-098*|Tērvetes novads|Tērvete|lv||
municipality|LV-100*|Vaiņodes novads|Vaiņode|lv||
municipality|LV-101*|Valkas novads|Valka|lv||
republican city|LV-VMR*|Valmiera||lv||
municipality|LV-102*|Varakļānu novads|Varakļāni|lv||
municipality|LV-104*|Vecpiebalgas novads|Vecpiebalga|lv||
municipality|LV-105*|Vecumnieku novads|Vecumnieki|lv||
republican city|LV-VEN*|Ventspils||lv||
municipality|LV-106*|Ventspils novads|Ventspils|lv||
municipality|LV-107*|Viesītes novads|Viesīte|lv||
municipality|LV-108*|Viļakas novads|Viļaka|lv||
